"","Epithelial","Fibroblasts","Myo.Meso","Endothelium","Pericytes","Neural","Immune","Muscle"
"DKK4",0,0,0,0,0,0,0,0
"VDAC3",8.24191469429734e-05,9.60000450034021e-05,6.11172686306935e-05,8.00651946637262e-05,0.000149445142007085,0.000185897331958112,6.86010637389965e-05,0.000120320092946667
"SLC20A2",2.59471141903785e-05,1.82232346241458e-06,9.90461114490231e-06,1.76204576237876e-05,2.19767307959672e-05,1.81943334938646e-05,4.41549839938183e-06,5.17364613252892e-05
"AC090739.1",1.5271430716315e-06,0,0,0,0,0,0,0
"SMIM19",6.90369031147633e-05,3.88240782432602e-05,6.18014200481335e-05,2.32136661177378e-05,4.15690530284194e-05,5.25737724010249e-05,3.93113236754866e-05,1.50687466302038e-05
"CHRNB3",0,0,0,0,0,0,0,0
"AC103843.1",0,0,0,0,0,0,0,0
"CHRNA6",0,0,0,0,0,0,0,0
"THAP1",1.0456213347041e-05,1.61753727378244e-05,1.93851299821219e-05,2.93358303784855e-05,4.98194046581143e-06,6.85772401650555e-05,1.72039038364835e-05,2.70887307874216e-05
"RNF170",2.10881148881761e-05,1.64248418342957e-05,8.80997838144475e-06,3.05025235718191e-05,1.06679526018403e-05,2.08293042570565e-05,1.85296509926034e-05,8.98214134945217e-06
"HOOK3",2.57800157438464e-05,7.16738919603713e-05,4.19332902105503e-05,8.33595782116847e-05,5.55111306449147e-05,4.69210686057155e-05,4.29013449981787e-05,3.37588584421978e-05
"AC110275.1",0,0,0,0,0,0,0,0
"FNTA",5.99666258236571e-05,7.28698455351123e-05,9.68245294736109e-05,9.28228578126687e-05,7.15941168095212e-05,0.000100058497735563,4.8972225021417e-05,6.61533923713209e-05
"POMK",0,1.2528580825007e-06,0,0,0,9.564828699535e-06,0,0
"HGSNAT",1.28055570576399e-05,3.50444089223125e-05,3.36517089913458e-05,4.98473830073668e-05,3.07377332174356e-05,2.65562757129769e-05,2.75480631987707e-05,2.81016513286072e-05
"LINC00293",0,0,0,0,0,0,0,0
"AC091163.1",0,0,0,0,0,0,0,0
"AC091163.2",0,0,0,0,0,0,0,0
"AC120036.4",0,0,0,0,0,0,0,0
"IGLV8OR8-1",0,0,0,0,0,0,0,0
"SPIDR",1.26368943626193e-05,1.70952987358206e-05,2.87065586908623e-05,1.53860236390618e-05,2.07048290014249e-05,1.6347609874276e-05,1.82233685652332e-05,1.086755941765e-05
"CEBPD",0.0002955070330696,0.000830139678654723,0.000714728993675498,0.000275493407139098,0.000484476116495072,0.000440137359645082,0.00125188641868851,0.000357455914348568
"PRKDC",3.04900235067731e-05,0.000100017780389424,6.88727319105646e-05,7.7121049766337e-05,0.000119279287576627,0.00013124133262657,9.86726712292976e-05,9.29713949383519e-05
"MCM4",7.70709858667034e-06,6.13234682869772e-05,1.70982485080829e-05,1.43274631738434e-05,4.90270285312194e-05,2.64662659600816e-05,3.79251597191328e-05,2.20461106128272e-05
"UBE2V2",5.87442039482177e-05,0.000115769008387028,6.77253392923063e-05,8.50533607821421e-05,0.000109346918610837,0.000134594942199682,5.4135721769752e-05,0.000115125932178596
"AC026904.2",0,0,0,0,0,0,0,0
"AC026904.3",0,2.14201563671415e-06,0,0,0,3.10703743980115e-06,0,0
"AC022915.2",0,2.62881177707676e-06,0,0,0,0,0,0
"AC026904.1",0,2.15749730312837e-06,0,0,0,0,0,0
"AC026904.4",0,0,0,0,0,0,0,0
"AC022915.1",0,0,0,0,0,0,0,0
"AC022915.3",0,0,0,0,0,0,0,0
"EFCAB1",0,1.82232346241458e-06,1.86167737131155e-06,0,0,0,0,0
"SNAI2",0,0.000111174956098504,2.45113058398186e-06,3.44571246997978e-05,0.000210696308772389,8.26938481851921e-06,8.77781353834891e-06,3.00106214191255e-05
"PPDPFL",0,0,0,0,0,0,0,0
"AC022568.1",0,0,0,0,0,0,0,0
"AC090155.2",0,0,0,0,0,0,0,0
"AC090155.1",0,0,0,0,0,0,0,0
"AC113145.1",0,0,0,0,0,0,0,0
"AC023762.1",0,0,0,0,0,0,0,0
"SNTG1",0,0,0,0,0,3.09837335398916e-06,0,0
"AC012413.1",0,0,0,0,0,0,0,0
"PXDNL",0,0,0,0,0,0,0,0
"AC090186.1",0,0,0,0,0,0,0,0
"PCMTD1",4.42761558279893e-05,7.65046746573482e-05,8.51593129413748e-05,7.80622738011204e-05,6.53324223804759e-05,7.65538825660687e-05,5.75985183642042e-05,5.39754961789343e-05
"AC064807.1",7.69359430614379e-06,2.1564504825058e-06,2.88641939673835e-06,7.14674168680629e-06,1.10091049907439e-05,3.63504180298073e-06,7.34336679923958e-06,3.81898033225129e-06
"AC064807.4",0,0,0,0,0,0,0,0
"AC064807.2",4.61309110958461e-06,0,0,0,0,0,0,0
"AC064807.3",0,0,0,0,0,0,0,0
"ST18",0,0,0,0,5.47045951859956e-06,1.29584357184668e-05,2.77970813064628e-06,0
"AC021915.2",0,0,0,0,0,0,0,0
"AC021915.1",0,0,0,0,0,0,0,0
"AC103831.1",0,0,0,0,0,0,0,0
"ALKAL1",0,0,0,0,0,0,0,0
"RB1CC1",5.56100209466345e-05,0.000132117291850696,0.000102595992307722,0.000186390141983928,9.338542194347e-05,0.000166620033654336,6.07273391592215e-05,6.92721844302533e-05
"NPBWR1",0,0,0,0,0,0,0,0
"AC009646.2",0,0,0,0,0,0,0,0
"OPRK1",0,0,0,0,0,0,0,0
"AC131902.2",0,0,0,0,0,0,0,0
"AC131902.1",0,0,0,0,0,0,0,0
"AC022034.4",0,0,0,0,0,0,0,0
"AC022034.2",0,0,0,0,0,0,0,0
"ATP6V1H",3.64212700659849e-05,2.07327465807759e-05,0,4.44214108464469e-05,2.18852557713589e-05,4.17959079457651e-05,5.47939426343054e-05,2.73676239818414e-05
"RGS20",0,0,1.02043114484254e-05,3.85652393844868e-06,3.53982300884956e-06,3.12085511430132e-06,0,0
"AC113194.1",0,0,0,0,0,0,0,0
"TCEA1",9.34402079622993e-05,0.000164041701541489,0.000192216208891155,0.000147664187414644,0.000117828538545353,0.000208192021409225,0.000162297413978862,0.000123012353303448
"AC100821.2",0,0,0,0,0,0,0,0
"LYPLA1",6.81881766801161e-05,4.47755307398596e-05,2.66135763021689e-05,9.8525528818654e-05,6.14238008926754e-05,6.98285520582301e-05,8.02211175804326e-05,2.62520218203317e-05
"MRPL15",3.59725897889084e-05,2.88054659333298e-05,3.89242287943907e-05,5.05084190833151e-05,6.4385400130784e-05,5.42424424389459e-05,3.4178524542281e-05,4.36002017515125e-05
"SOX17",0,0,0,0.000172637170901157,0,0,0,0
"RP1",0,0,0,4.26811342053206e-06,0,0,0,0
"XKR4",0,0,0,0,0,5.73704753206682e-05,0,0
"AC022679.2",0,0,0,0,0,0,0,0
"AC022679.1",0,0,0,0,0,0,0,0
"AC090200.1",0,0,0,0,0,0,0,0
"TMEM68",2.65846415238321e-05,1.77090745881022e-05,1.58604006269748e-05,2.02702927307408e-05,3.72164575090017e-05,3.03122784760077e-05,1.62014415431134e-05,1.08182674321688e-05
"TGS1",1.87936075275334e-05,2.88629068193941e-05,4.11850020338614e-05,4.34525366490634e-05,5.04535319228659e-05,5.25806566080585e-05,3.21967890371492e-05,2.78197033976598e-05
"LYN",2.64019702190025e-06,0,0,0.000131067248048422,5.35690370965582e-06,0,0.000134839752225641,8.46213259321502e-06
"RPS20",0.00073072778072921,0.000722354909860186,0.000721116491910352,0.000480452154765691,0.000604783846325262,0.000583656413504179,0.00091775032762187,0.000612630396084695
"CERNA3",0,0,0,0,0,0,0,0
"MOS",0,0,0,0,0,0,0,0
"PLAG1",1.32781446116689e-05,2.94562703198934e-05,3.66645530584997e-05,1.33779934661931e-05,2.8507711152914e-05,2.59662540146456e-05,1.80361116084851e-05,1.84488973613003e-05
"CHCHD7",6.99946819577183e-05,5.76625918161047e-05,4.121125774429e-05,7.78578328469722e-05,1.51845710216458e-05,5.01780423743446e-05,9.24689494111105e-05,5.05882837968257e-05
"AC107952.2",0,0,0,0,4.26348326582818e-06,0,0,0
"SDR16C5",5.56908352803007e-06,0,0,0,0,0,0,0
"PENK",0,1.4381865496068e-05,0,2.35432607416127e-06,4.9800796812749e-06,0.0010772141915821,4.05227433897275e-06,1.73761946133797e-05
"AC012349.1",0,0,0,0,0,0,0,0
"LINC00968",0,0,0,0,0,0,0,4.23863515947865e-06
"AC013644.1",0,0,0,0,0,0,0,0
"AC009597.1",0,0,0,0,0,0,0,0
"IMPAD1",2.55959835801368e-05,3.87025985186064e-05,2.93389184557624e-05,3.3053205218474e-05,2.03766827587344e-05,1.95117278785473e-05,2.20716254650086e-05,4.38556561015403e-05
"LINC01606",0,0,5.21988777241289e-06,0,0,0,0,0
"AC025674.2",0,0,0,0,0,0,0,0
"LINC00588",0,0,0,0,0,0,0,0
"AC068075.1",0,0,0,0,0,0,0,0
"AC090796.1",0,0,0,0,0,0,0,0
"AC104051.1",0,0,0,0,0,0,0,0
"AC104051.2",0,0,0,0,0,0,0,0
"AC012103.1",0,0,0,0,0,0,0,0
"LINC01602",0,0,0,0,0,0,0,0
"FAM110B",2.43836778720429e-06,1.95148503547178e-05,3.70287843753859e-05,3.25815101736496e-06,7.3414012180928e-05,1.72718157570486e-05,0,2.33825043332394e-05
"AC104350.1",0,0,0,0,0,0,0,0
"AC027698.1",0,0,0,0,0,0,0,0
"UBXN2B",0,1.20598166907863e-06,6.49774389642701e-06,0,4.26348326582818e-06,1.29288593082238e-05,7.35915280659484e-06,1.09269087114625e-05
"CYP7A1",0,0,0,1.58660901987228e-06,0,0,0,0
"SDCBP",8.33770051998246e-05,0.000223482015000849,0.000263419116762481,0.000356711898217316,0.000209114940534512,0.000146839909519893,0.000335122718834514,0.000138269643941159
"NSMAF",5.65154762243741e-06,6.43866051712228e-06,1.04481581385176e-05,4.39548128628989e-06,5.22875816993464e-06,8.70314610929507e-06,1.32489577000909e-05,2.49496882302389e-05
"TOX",4.51699487446133e-06,1.15187700150755e-05,3.6037054794037e-05,7.14587803327258e-06,1.37357641324344e-05,4.66061546854093e-05,2.25022502250225e-06,2.21466772482217e-05
"AC090152.1",2.34215330141436e-06,7.10031445893334e-06,4.77213075638272e-06,1.29297303630704e-05,1.42590442964277e-05,1.59489959324287e-05,2.25022502250225e-06,9.54857430693662e-06
"AC087664.1",0,0,0,0,0,0,0,0
"AC087664.2",0,0,0,0,0,0,0,0
"AC021393.1",0,0,0,0,0,0,0,0
"CA8",9.24143930719972e-06,1.20598166907863e-06,0,5.7156935196458e-05,0,7.72200772200772e-06,0,0
"LINC01301",7.37476723390918e-07,2.29542063583152e-06,0,0,9.93878324871236e-06,0,0,0
"RAB2A",0.000168202982545026,0.000231033852037374,0.000236829122180574,0.000208026666258671,0.000162338356610356,0.000232938632343349,0.000120709084995749,0.000184609778596702
"AC068389.4",0,0,0,0,0,0,0,3.11429461227032e-06
"AC068389.1",0,0,0,0,0,0,0,0
"AC068389.2",9.95817566221868e-07,0,0,0,0,0,0,0
"AC068389.3",0,0,0,0,0,0,0,0
"CHD7",2.19564685358091e-05,1.14395141697919e-05,2.93795742422154e-05,8.09956550909475e-05,2.62679681330129e-05,0.000206074464665421,5.71826714988063e-05,3.10137223596135e-05
"AC113143.1",0,0,0,0,0,0,0,0
"AC022182.1",0,0,0,0,0,0,0,0
"AC022182.2",0,0,0,4.55140240086477e-06,0,0,0,0
"CLVS1",0,0,0,4.44254056525227e-06,0,6.66956059086532e-06,0,0
"AC023866.2",0,0,0,0,0,0,0,0
"AC023866.1",0,0,0,0,0,0,0,0
"ASPH",3.40402115487452e-05,9.66228856716887e-05,6.07788572352261e-05,2.50069614086762e-05,1.98665247800189e-05,5.85291697666293e-05,1.89260712087674e-05,3.97028365046894e-05
"AC091173.1",0,0,0,0,0,0,0,0
"AC025524.2",0,0,0,0,0,0,0,0
"AC025524.1",0,0,0,0,0,0,0,0
"LINC02155",0,0,0,0,0,0,0,0
"NKAIN3",2.35060818634698e-06,2.05349350582679e-06,1.11944126440159e-05,0,4.84261501210654e-06,5.59685127999361e-05,0,0
"AC018861.2",0,0,0,0,0,0,0,0
"AC120042.3",5.68324452218455e-06,0,0,0,0,1.34800090238648e-05,0,0
"AC120042.1",0,0,0,0,0,0,0,0
"GGH",0.000108267796778541,1.75092465590579e-05,3.26028413736618e-05,3.23642452423587e-05,7.43060902605905e-05,9.5897347251282e-05,1.64315938482834e-05,4.98976385099185e-05
"AC120042.2",0,0,0,0,0,0,0,0
"TTPA",1.57958198654881e-06,2.15749730312837e-06,0,0,0,0,0,0
"YTHDF3-AS1",5.59675310054166e-06,1.00730582907168e-05,6.65444694237095e-06,1.82949140139041e-06,0,0,0,0
"YTHDF3",4.35625633474649e-05,2.96930367399919e-05,2.05211506813389e-05,2.88873471811818e-05,4.06520747083963e-05,3.04242936518586e-05,4.19298416811631e-05,1.73149836954683e-05
"AC011978.2",2.69413798923145e-06,4.31290096501159e-06,3.58166189111748e-06,0,0,0,0,0
"AC011124.1",0,0,0,0,0,0,0,0
"AC011124.2",0,0,0,0,0,0,0,0
"AC018953.1",0,0,0,0,0,0,0,0
"AC022639.1",0,0,0,0,0,0,0,0
"AC069133.1",0,0,0,0,0,0,0,0
"LINC01289",0,0,0,0,0,0,0,0
"MIR124-2HG",0,0,0,0,0,0,0,0
"AC090136.3",0,0,0,0,0,0,0,0
"BHLHE22",0,0,0,0,0,0,0,0
"CYP7B1",0,6.09820342921731e-06,0,2.13515533255044e-06,2.16776243143785e-05,1.01398754138809e-05,0,0
"AC104232.1",0,0,0,0,0,0,0,0
"LINC00251",0,0,0,0,0,0,0,0
"LINC01299",0,0,0,0,0,0,0,0
"AC100814.1",9.4863159891856e-07,0,0,0,0,0,0,0
"ARMC1",2.07681266160036e-05,4.3053204062528e-05,2.9489578814208e-05,5.05062545665388e-05,8.07866292175548e-05,8.71260096134197e-05,1.84636530879802e-05,5.03255779315427e-05
"MTFR1",3.40200094492771e-06,9.41904241457084e-06,6.34654852077086e-06,1.56889291820081e-05,0,1.02882502611754e-05,6.85164943458343e-06,1.39049394063983e-05
"AC055822.1",0,0,0,0,0,0,0,0
"PDE7A",1.21698313617672e-05,1.60494357970615e-05,2.78113055258421e-05,1.08679939957382e-05,2.88228155367396e-05,2.83471173586016e-05,2.57293925979286e-05,2.10252347308754e-05
"AC100812.1",0,0,0,0,0,0,0,0
"DNAJC5B",0,0,0,0,0,0,0,0
"AC084082.1",0,0,0,0,0,0,0,0
"TRIM55",0,0,0,0,0,0,0,0
"CRH",0,0,0,0,0,0,0,0
"LINC00967",0,0,0,0,0,0,0,0
"RRS1-AS1",0,0,0,0,0,0,0,0
"RRS1",6.38369255348755e-06,3.34799730579278e-06,4.49621124456656e-06,1.0455949143136e-05,3.84490541764917e-05,2.52283261845384e-05,0,3.86473429951691e-06
"ADHFE1",1.71185586969517e-06,0,5.68343279340722e-06,4.10596968947874e-06,4.9800796812749e-06,0,0,0
"VXN",0,0,0,0,0,0,0,0
"MYBL1",0,1.92761794612308e-06,5.84368151935719e-06,4.10596968947874e-06,2.69333918068222e-05,6.77270908363345e-06,0,1.22343107559956e-05
"VCPIP1",1.89421227839419e-05,1.20897109330593e-05,2.74126840427128e-05,1.91262212809718e-05,9.80206409408494e-06,2.91950344160054e-05,8.8667420897401e-06,1.38820629708563e-05
"SGK3",1.95990777065283e-05,1.07961334785445e-05,1.67186810615934e-05,2.18560062996351e-05,0,1.50458525845699e-05,3.98522829548827e-05,0
"C8orf44",3.35519193684312e-06,3.64464692482916e-06,1.20541983557103e-05,6.13215115052048e-06,0,0,0,3.8259206121473e-06
"MCMDC2",0,0,0,2.40081627753436e-06,5.22875816993464e-06,0,0,0
"TCF24",0,0,0,0,0,0,0,0
"PPP1R42",0,0,0,0,0,0,0,0
"COPS5",7.5914419770671e-05,9.11577509094436e-05,5.01481023205588e-05,6.70233253063113e-05,6.53918264819961e-05,7.91069637659755e-05,3.80211213516391e-05,9.65565154402712e-05
"CSPP1",1.35792741706196e-05,1.3103483461334e-05,4.31292702903668e-05,1.47557116887868e-05,4.94877353539872e-05,3.80428224019813e-05,1.37483890358953e-05,3.33812364559055e-05
"ARFGEF1",2.30811717401562e-05,2.34766052194704e-05,1.289966913627e-05,4.17627580862288e-05,2.23230999933042e-05,2.96716379471384e-05,4.41823505217352e-05,3.36149304400655e-05
"AC021321.1",0,0,0,2.27570120043238e-06,0,0,0,0
"CPA6",0,0,0,0,0,0,0,0
"AC022874.1",0,0,0,0,0,0,0,0
"PREX2",0,7.72211070707958e-06,1.07195732202966e-05,7.52562067189759e-05,1.45876820775417e-05,6.49796083850412e-06,0,4.34404865334492e-06
"AC011853.2",0,0,0,0,0,0,0,0
"C8orf34-AS1",0,0,0,0,0,0,0,0
"C8orf34",0,0,0,0,0,0,0,0
"AC083967.1",0,0,0,0,0,0,0,0
"LINC01592",0,0,0,0,0,0,0,0
"AC021785.1",0,0,0,0,0,0,0,0
"LINC01603",0,0,0,0,0,0,0,0
"SULF1",0,7.03789782468476e-05,9.89990888699561e-05,7.08417059578064e-06,2.9651215915401e-05,3.32612672542824e-06,0,4.12286126571841e-06
"SLCO5A1",1.98562257463521e-06,0,0,1.86488880600494e-06,0,3.32612672542824e-06,0,0
"AC091047.1",0,0,0,0,0,0,0,0
"AC079089.1",9.89805008413343e-07,0,0,0,0,0,0,0
"PRDM14",0,0,0,0,0,0,0,0
"NCOA2",1.61416878133829e-05,8.99981364499143e-06,1.82265278999073e-05,2.23665266053847e-05,5.28122524425667e-06,3.31927026730494e-05,2.25022502250225e-06,2.01147086689388e-05
"AC022730.3",0,0,0,0,0,0,0,0
"AC022730.4",0,5.72582516723083e-06,0,4.07832568558634e-06,0,0,2.69796303790638e-06,0
"TRAM1",0.000230739278525805,8.16238167722589e-05,0.000104030601642351,0.000117562350920676,5.66761255505644e-05,4.62179837873659e-05,0.000104803691364922,8.45732037982055e-05
"LACTB2-AS1",8.88336146397797e-07,0,2.67218919099472e-06,0,0,0,0,0
"LACTB2",0.000105593950421152,1.10784975217822e-05,5.70044178423828e-06,1.45546715831813e-05,1.00899951096518e-05,1.6171807387184e-05,1.73404699247328e-05,3.8259206121473e-06
"XKR9",4.4512300588304e-06,0,0,0,0,0,0,0
"AC022858.1",0,0,0,0,0,0,0,0
"EYA1",0,0,0,0,0,3.0213762368759e-06,0,0
"AC009446.1",0,0,0,0,0,0,0,0
"AC104012.1",0,0,0,0,0,0,0,0
"MSC-AS1",0,0,0,0,5.70044178423828e-06,2.87728384405122e-06,0,0
"MSC",0,0,0,0,3.15438281107107e-05,0,0,3.11429461227032e-06
"TRPA1",0,0,0,0,5.22125048949223e-06,2.21760221760222e-05,0,0
"AC078906.1",0,0,0,0,0,0,0,0
"AC011131.1",0,0,0,0,0,0,0,0
"KCNB2",0,0,0,0,0,1.51163553038144e-05,0,7.16287760822174e-06
"AC090735.1",0,0,0,0,0,0,0,0
"AC022893.2",0,0,0,0,0,5.81268618760445e-06,0,0
"TERF1",2.4879155820865e-05,5.17511617455162e-05,6.01863080663251e-05,6.51129823496258e-05,8.25403187277904e-05,7.31270680956641e-05,3.13639156642606e-05,0.000153532862606964
"AC022893.3",0,0,0,0,0,0,0,0
"AC022893.1",0,0,0,0,0,0,2.89645184648805e-06,0
"SBSPON",0,1.82232346241458e-06,5.64717804877877e-05,2.13455184771706e-05,0,0,0,0.000462882571028
"C8orf89",0,0,0,2.50862339291314e-06,4.82683721491493e-06,3.06630893062476e-06,0,0
"RPL7",0.00160542367692687,0.00162558026658866,0.0020511700871518,0.00141545562888263,0.00156372430872389,0.00184344533603948,0.00162163030460182,0.00158067059041816
"RDH10",4.24259071613137e-05,3.65104031282081e-05,0.000114641427423126,2.27647828808833e-06,1.06229618329158e-05,2.52239804148167e-05,0,0.000186527408602311
"RDH10-AS1",0,0,0,0,0,0,0,0
"AC111149.2",9.4863159891856e-07,0,0,0,0,0,0,0
"AC111149.1",0,0,0,0,0,0,0,0
"STAU2-AS1",0,0,0,0,0,0,0,0
"STAU2",1.5370278273376e-05,1.7133948754952e-05,1.11161137271239e-05,1.92140929515968e-05,4.93400764771185e-06,4.10033687404176e-05,2.21374531284991e-05,2.42289116484668e-05
"AC027018.1",0,0,0,0,0,0,0,0
"AC022826.2",0,0,0,0,0,0,0,0
"UBE2W",1.92076102401101e-05,3.83307763985063e-05,4.0986689992456e-05,4.41336863711438e-05,9.96392505006646e-06,3.9367999306613e-05,7.5966760051151e-05,3.78538432392705e-05
"ELOC",0.000107177394642086,0.000146951371281835,0.000169545071712988,0.000182369963093088,0.000119294739781714,0.000136259897414317,0.000170259807725466,0.000122422947104121
"TMEM70",7.66669646141251e-05,6.22279843446255e-05,3.60645435026964e-05,9.12191163808789e-05,1.3399004326007e-05,4.06773208520872e-05,7.09520508590198e-05,5.72765163170996e-05
"LY96",0,0,0,2.67233335222904e-05,0,0,3.52495877185265e-05,0
"AC087672.2",0,0,0,0,0,0,0,0
"AC087672.1",0,0,0,0,0,0,0,0
"AC087627.1",0,0,0,6.79245544012614e-06,0,0,0,0
"JPH1",2.64531741709563e-06,0,8.28234547255111e-06,2.57765175924733e-06,0,0,0,0
"GDAP1",4.77632811512178e-06,8.49341680328094e-06,1.8152237015236e-05,9.80688826551841e-06,0,7.6309721276112e-05,3.69173973234887e-06,9.93500278683218e-06
"AC103952.1",0,0,0,0,0,0,0,0
"MIR2052HG",0,0,0,0,0,0,0,0
"AC115837.2",0,0,0,0,0,0,0,0
"AC011632.1",0,0,0,0,0,0,0,0
"PI15",0,0,0,0,1.04575163398693e-05,0,0,2.19034059796298e-06
"AC011632.2",0,0,0,0,0,0,0,0
"CRISPLD1",3.70941079030015e-06,1.88570848131932e-05,3.36144201080398e-05,1.93712419141235e-05,1.52333813810947e-05,4.29766823990167e-05,0,1.40222081849091e-05
"AC100782.1",0,0,0,0,0,0,0,0
"AC022274.1",0,0,0,0,0,0,0,0
"CASC9",0,0,3.45871162991786e-06,0,0,0,0,0
"HNF4G",4.91903645333517e-05,0,0,1.99163513244374e-06,0,0,0,0
"AC067773.1",0,0,0,0,0,0,0,0
"LINC01109",0,0,0,0,0,7.43243243243243e-06,0,0
"LINC01111",0,0,0,0,0,0,0,0
"ZFHX4-AS1",0,0,0,0,0,0,0,5.0817675171476e-06
"ZFHX4",0,7.93523348047664e-05,0.000116995373513004,3.99045517371843e-06,1.10777658628451e-05,9.29534124494376e-05,0,3.97296656992978e-05
"AC023200.1",0,0,0,0,0,0,0,0
"PEX2",4.30834103418706e-05,6.29883750598257e-05,7.61647525860204e-05,2.61493135411566e-05,4.89742661190817e-05,4.09554235001071e-05,2.54553822852492e-05,2.90957371301992e-05
"AC062004.1",0,0,0,0,0,0,0,0
"AC084706.1",0,5.36840692524493e-06,0,0,0,0,0,0
"PKIA-AS1",0,0,0,0,0,0,0,0
"PKIA",2.87379025216124e-06,1.74508205420073e-05,1.8807370591892e-05,2.47113002960598e-05,9.32016982965881e-06,0.000101586665669056,0,9.0199382368483e-06
"ZC2HC1A",1.23597121176797e-05,5.59934023242796e-05,0.000108498470252203,4.99206155318745e-05,7.84187239350402e-05,0.000122879258102253,2.33059488434423e-06,4.42803597069304e-05
"IL7",0,3.71683423165256e-06,3.82555470543229e-06,3.27721157052431e-05,0,0,5.02855792225061e-06,2.19034059796298e-06
"AC083837.1",0,2.50563768479078e-06,3.58166189111748e-06,0,0,0,0,0
"AC138646.1",0,0,0,0,0,0,0,0
"STMN2",0,6.38403357390381e-05,0,2.11048382841766e-06,8.82104825310623e-06,0.00236289465190498,0,4.12158681092221e-06
"HEY1",8.53389623904887e-06,4.83296079260557e-06,2.84171639670361e-06,5.05527580240463e-05,1.94315377321038e-05,5.61874242473545e-05,2.31026914635555e-06,0
"LINC01607",1.58783387447866e-06,0,0,0,0,2.19082046226312e-06,0,0
"AC036214.1",0,0,0,0,4.61947107056242e-06,0,0,0
"MRPS28",3.94706456310173e-05,1.00417301966549e-05,1.03775480816635e-05,2.18265139359695e-05,1.91155725025721e-05,1.57039577985004e-05,3.38923194900074e-05,1.79609525786783e-05
"AC036214.3",0,0,0,0,0,0,0,0
"AC009686.2",2.40927971950879e-06,0,0,0,0,0,0,0
"TPD52",0.000106274464149323,1.2528580825007e-06,5.04101414179609e-05,2.183710486339e-05,0,2.65808246439267e-05,6.89108905320203e-06,2.83968641191344e-05
"AC009686.1",0,0,0,0,0,0,0,0
"AC034114.2",0,0,0,0,0,0,0,0
"AC009812.1",5.47371453318274e-06,2.84282719164209e-06,2.1901114183687e-05,1.08916062085313e-05,1.45705789107287e-05,6.17335816680437e-06,2.31026914635555e-06,5.72288489488232e-06
"ZBTB10",4.14655255581076e-05,3.02971971600747e-05,4.49061082888464e-05,5.51012017118779e-05,6.31160867859491e-05,5.28654100196528e-05,2.27505611601681e-05,2.88417588638655e-05
"AC009812.3",0,0,0,3.51700151354859e-06,0,0,0,0
"AC009812.4",6.76441242622563e-07,0,0,4.74709989721565e-06,0,0,0,0
"ZNF704",1.27126200486833e-05,5.36765697403406e-05,5.80862683711812e-05,3.19283449851357e-05,4.11496094952715e-05,6.45432904930828e-05,9.18251067443844e-06,2.14285426618192e-05
"PAG1",9.5591426731527e-05,1.02608071942028e-05,8.88759328029788e-06,2.40081627753436e-06,6.34017676154372e-05,3.24491275470625e-05,8.2588211501663e-05,6.71734753133192e-06
"AC022778.1",0,0,0,0,0,0,0,0
"AC079209.2",0,0,0,0,0,0,0,0
"AC079209.1",7.72618403770378e-07,0,0,0,0,0,0,0
"AC009902.3",0,0,0,0,0,0,0,0
"AC009902.2",0,0,0,2.02695854869768e-06,0,0,0,0
"FABP5",6.61564555768415e-05,9.14750931588025e-05,0.000125407187937077,0.00200581484649922,0.00123841866840794,0.000381524710511168,9.5503561401076e-05,7.05323543095907e-05
"AC018616.1",0,0,0,0,0,0,0,0
"PMP2",0,0,0,0,0,1.27337843215281e-05,0,0
"FABP9",0,0,0,0,0,0,0,0
"FABP4",0,0,0,0.000529758245346637,8.51990269012446e-06,7.27008360596147e-06,9.45626477541371e-06,0
"AC023644.1",0,0,0,0,0,0,0,0
"FABP12",0,0,0,0,0,0,0,0
"IMPA1",2.80530428272919e-05,2.16228630652041e-05,2.2109514277528e-05,3.69891982797081e-05,2.45955661890658e-05,3.47732431112757e-05,2.93058442550707e-05,3.75338870519094e-05
"SLC10A5",4.44933898722485e-06,0,0,0,0,0,0,0
"ZFAND1",4.74493474893782e-05,3.58074035509594e-05,3.18871413770477e-05,5.86465078616504e-05,4.96996762701632e-05,5.49591205384925e-05,3.49192382546039e-05,6.4850951810297e-05
"CHMP4C",3.33435213915274e-05,0,6.25321737846655e-06,0,0,3.18344608038201e-06,0,3.8259206121473e-06
"AC132219.1",0,0,0,0,0,0,0,0
"SNX16",3.97126527733894e-06,1.67889599962309e-05,2.70199528371821e-05,4.27476252878096e-05,6.85794826807809e-06,3.28469548954413e-05,0,1.04563280749027e-05
"LINC02235",0,0,0,0,0,0,0,0
"AC027701.1",0,0,0,0,0,0,0,0
"AC060765.1",0,0,0,0,0,0,0,0
"AC105031.2",0,0,0,0,0,0,0,0
"AC105031.3",0,0,0,0,0,0,0,0
"LINC01419",0,0,0,0,0,0,0,0
"AC015522.1",0,0,0,0,0,0,0,0
"RALYL",8.88541794995171e-06,0,7.83315382355821e-06,0,0,9.88772041236736e-05,0,0
"LRRCC1",1.4578766186092e-05,1.87584239162379e-05,1.94715298753696e-05,2.04229844007731e-05,3.88939425411287e-05,3.15637019284661e-05,1.32464951981455e-05,4.49959625364423e-05
"AC011773.4",0,0,0,0,5.28122524425667e-06,0,0,0
"E2F5",1.64994660879444e-05,1.25005431161596e-05,4.67890981401334e-06,1.09381840802803e-05,1.56346412689475e-05,2.70491185469502e-05,7.08118870857226e-06,8.70497416695812e-06
