"","Epithelial","Fibroblasts","Myo.Meso","Endothelium","Pericytes","Neural","Immune","Muscle"
"SV2A",9.71203807118924e-07,5.71942084925668e-06,3.27064595257563e-06,4.1021189608614e-06,4.15066929542389e-06,9.45631391284248e-06,0,1.54575066572826e-05
"SF3B4",3.34072906860128e-05,5.71549104764744e-05,5.40610549517379e-05,2.92420200926164e-05,6.68162473275541e-05,4.96550387713962e-05,3.47391732579274e-05,8.34628717296032e-05
"MTMR11",5.71834416375916e-05,1.05629236903359e-05,0,1.09010873394982e-05,5.73394495412844e-06,8.13441323693909e-06,4.75059382422803e-06,1.18135161773826e-05
"OTUD7B",1.40898404995708e-05,1.59954606276286e-05,1.91683070978263e-05,9.2512734371137e-06,3.05103879977131e-05,1.26281959625415e-05,7.46497531296299e-06,1.27007677526937e-05
"VPS45",6.91615282277245e-06,1.29039623368208e-05,5.42888165038002e-06,5.62748534196625e-06,1.27606621052073e-05,1.80087019267837e-05,1.34681712640163e-05,2.25346773067402e-05
"PLEKHO1",1.62900728397344e-06,5.96512391498092e-05,6.06724509164223e-05,8.17795054356231e-05,0.000124511676910636,0.000102446350367331,0.000219737537873891,0.000173663815032402
"ANP32E",2.91924858446297e-05,9.27491063288918e-05,3.80432271493257e-05,6.22938517014279e-05,0.00016678633189238,0.000151439647354241,0.000110631437591142,0.000121008699227402
"AC242988.1",0,0,0,0,0,0,0,0
"CA14",0,0,5.70044178423828e-06,0,0,3.12085511430132e-06,0,0
"APH1A",9.16167481125448e-05,7.48741977887985e-05,7.76314612436685e-05,8.45385826198955e-05,4.26496602873728e-05,7.04637839779305e-05,9.38641451608386e-05,2.83347300539747e-05
"C1orf54",1.39799958182966e-06,1.63682312297214e-05,1.22556529199093e-06,0.000181397056110638,8.12979072495105e-05,3.20128051220488e-06,8.50879884600292e-05,2.55053700823257e-05
"CIART",2.51859650828058e-06,4.6413274837414e-06,0,1.31004951842777e-05,0,7.08163472973819e-06,0,2.89142691918462e-06
"MRPS21",0.000140228919076015,0.000170000976136516,0.000171277266529958,0.000229493156029305,0.000192086402464552,0.000190480906790337,0.000136003956283972,0.000221561369172843
"PRPF3",1.4879401475612e-05,1.06849496535488e-05,1.1437203122496e-05,1.55444910769058e-05,3.4410480823299e-05,2.81949733229794e-05,1.1165735776261e-05,4.54237188990776e-05
"RPRD2",2.04055139342117e-05,1.47212636220858e-05,4.08081803585928e-05,1.08640336102376e-05,2.89588227553079e-05,2.18775854744311e-05,1.2143648283152e-05,1.54213980533193e-05
"TARS2",1.06303939937361e-05,8.07944323720311e-06,1.79255271053682e-05,7.29294798625866e-06,9.85887821214139e-06,7.07499734350451e-06,2.31026914635555e-06,6.71040725143591e-06
"ECM1",0,0.000124628074275445,4.49621124456656e-06,8.86671099166787e-06,2.07637806592805e-05,1.02427045270771e-05,0,2.89142691918462e-06
"FALEC",0,0,0,0,0,0,0,0
"AL356356.1",0,0,0,0,0,0,0,0
"ADAMTSL4",8.23519723297373e-07,2.06293935229389e-05,1.21238527444835e-05,0,5.47045951859956e-06,0,0,1.40806246881905e-05
"MCL1",0.000223798161545153,0.000388867978096061,0.000289963816791178,0.000327932029597445,0.000403495031832778,0.000268872570169873,0.000640956759848435,0.000385823300648485
"ENSA",0.000101212605425265,7.09471543874379e-05,7.94745025911841e-05,0.0001159000954365,0.000138689554411331,0.000105528006875367,0.000170059628501809,0.000125450687256131
"GOLPH3L",1.96006716096297e-05,2.6057022302357e-05,1.06217449575837e-05,7.47510035431824e-06,1.55600946649595e-05,9.71661858231359e-06,1.18423005084241e-05,2.19034059796298e-06
"HORMAD1",0,0,0,0,0,0,7.38347946469774e-06,0
"CTSS",7.69170811620657e-05,0,0,1.15623842941329e-05,5.47045951859956e-06,6.59609983177859e-06,0.000403734727555408,0
"CTSK",1.74437227112226e-06,4.02116494467155e-05,2.1373092574886e-05,3.48356455686986e-06,1.06200616043927e-05,9.40523628323632e-06,0,1.89280508844737e-05
"ARNT",1.03544111789162e-05,1.68881768942328e-05,1.36105387164994e-05,8.96297697794477e-06,2.64473778543226e-05,9.3365163976898e-06,2.69796303790638e-06,2.26785493742564e-05
"CTXND2",0,0,0,0,0,0,0,0
"SETDB1",8.23085675679858e-06,2.61164794985636e-06,2.60360601180463e-05,2.57765175924733e-06,9.89164479243555e-06,1.63714741081116e-05,1.44469707072796e-05,1.44564751669648e-05
"CERS2",7.04484605762915e-05,4.59788739735538e-05,3.3782279405076e-05,3.40346164803245e-05,3.62810417960204e-05,5.10350588309153e-05,2.23138867436843e-05,3.76394551269756e-05
"AL590133.2",0,0,0,0,0,0,0,0
"AL590133.1",0,0,0,0,0,0,0,0
"ANXA9",8.23519723297373e-07,0,0,0,0,0,0,0
"MINDY1",6.14540575860248e-06,2.15749730312837e-06,9.52466408805023e-06,8.99703624493206e-06,0,1.14659797155372e-05,9.69746387557618e-06,3.81898033225129e-06
"PRUNE1",4.20400924861789e-06,5.41697247803379e-06,2.88641939673835e-06,7.08822472658809e-06,9.37862098293151e-06,6.43357563143366e-06,0,2.39177230327673e-06
"BNIPL",0,0,0,0,0,0,4.75059382422803e-06,0
